pais,muertesCovid_2020,casosCovid_2020,pm2.5_2019,pm2.5_2018,pm2.5_2017,tasa_mortalidad_polucion_2019,%open_defecation_2020,%open_defecation_2019,%open_defecation_2018,%handwashing_facilities_home_2020,%handwashing_facilities_home_2019,%handwashing_facilities_home_2018,%basic_sanitation_ser_2020,%basic_sanitation_ser_2019,%basic_sanitation_ser_2018,%basic_drinking-water_ser_2020,%basic_drinking-water_ser_2019
Maldives,48,13368,13.00,12.47,12.52,16 ,0,0,0,96,96,96,99,98,97,100,100
Mali,194,5814,38.55,39.82,40.34,75 ,5,6,6,17,17,17,45,44,42,83,81
Malta,166,11101,12.93,13.79,12.60,55 ,0,0,0,,,,100,100,100,100,100
Mauritania,222,10780,41.98,42.58,43.42,61 ,31,31,32,,53,52,50,49,49,72,71
Mauritius,10,515,10.48,10.45,10.35,47 ,,,,,,,,,,100,100
Mexico,113953,1250044,17.83,18.75,20.44,43 ,0,0,1,,90,90,92,92,91,100,99
Mongolia,0,912,41.30,44.04,45.50,130,8,9,9,86,84,82,68,67,65,85,85
Montenegro,582,41426,19.30,23.35,22.66,215,0,0,0,99,99,99,98,98,97,99,99
Morocco,6624,399609,13.44,13.58,13.91,60 ,2,3,4,,,,87,86,85,90,89
Mozambique,142,16954,16.45,16.68,16.26,102,21,23,25,,,,37,36,34,63,61
Myanmar,2268,108342,27.16,26.04,25.93,133,7,7,7,75,74,74,74,73,73,84,82
